cas,smiles,log_kow_input,water_solubility_input,melting_point_input,qsar_class,organism,duration,endpoint,concentration,max_log_kow,flags
000067-64-1,CC(=O)C,-0.24,1000000.0,-94.8,Neutral Organics,Fish,96-hr,LC50,4902.02880859375,5.0,
000067-64-1,CC(=O)C,-0.24,1000000.0,-94.8,Neutral Organics,Daphnid,48-hr,LC50,2263.350341796875,5.0,
000067-64-1,CC(=O)C,-0.24,1000000.0,-94.8,Neutral Organics,Green Algae,96-hr,EC50,716.902099609375,6.400000095367432,
000067-64-1,CC(=O)C,-0.24,1000000.0,-94.8,Neutral Organics,Fish,,ChV,375.425537109375,8.0,
000067-64-1,CC(=O)C,-0.24,1000000.0,-94.8,Neutral Organics,Daphnid,,ChV,124.1274642944336,8.0,
000067-64-1,CC(=O)C,-0.24,1000000.0,-94.8,Neutral Organics,Green Algae,,ChV,118.44802856445312,8.0,
000067-64-1,CC(=O)C,-0.24,1000000.0,-94.8,Neutral Organics,Fish (SW),96-hr,LC50,6089.08203125,5.0,
000067-64-1,CC(=O)C,-0.24,1000000.0,-94.8,Neutral Organics,Mysid,96-hr,LC50,20637.62890625,5.0,
000067-64-1,CC(=O)C,-0.24,1000000.0,-94.8,Neutral Organics,Fish (SW),,ChV,168.30763244628906,8.0,
000067-64-1,CC(=O)C,-0.24,1000000.0,-94.8,Neutral Organics,Mysid (SW),,ChV,3464.558349609375,8.0,
000067-64-1,CC(=O)C,-0.24,1000000.0,-94.8,Neutral Organics,Earthworm,14-day,LC50,172.39309692382812,6.0,
000108-24-7,CC(=O)OC(=O)C,,,-73.0,Neutral Organics,Fish,96-hr,LC50,17312.05859375,5.0,
000108-24-7,CC(=O)OC(=O)C,,,-73.0,Neutral Organics,Daphnid,48-hr,LC50,7748.095703125,5.0,
000108-24-7,CC(=O)OC(=O)C,,,-73.0,Neutral Organics,Green Algae,96-hr,EC50,2157.555908203125,6.400000095367432,
000108-24-7,CC(=O)OC(=O)C,,,-73.0,Neutral Organics,Fish,,ChV,1278.0201416015625,8.0,
000108-24-7,CC(=O)OC(=O)C,,,-73.0,Neutral Organics,Daphnid,,ChV,389.63427734375,8.0,
000108-24-7,CC(=O)OC(=O)C,,,-73.0,Neutral Organics,Green Algae,,ChV,332.58319091796875,8.0,
000108-24-7,CC(=O)OC(=O)C,,,-73.0,Neutral Organics,Fish (SW),96-hr,LC50,21460.884765625,5.0,
000108-24-7,CC(=O)OC(=O)C,,,-73.0,Neutral Organics,Mysid,96-hr,LC50,91415.2265625,5.0,
000108-24-7,CC(=O)OC(=O)C,,,-73.0,Neutral Organics,Fish (SW),,ChV,482.7485656738281,8.0,
000108-24-7,CC(=O)OC(=O)C,,,-73.0,Neutral Organics,Mysid (SW),,ChV,16960.16015625,8.0,
000108-24-7,CC(=O)OC(=O)C,,,-73.0,Neutral Organics,Earthworm,14-day,LC50,328.4446105957031,6.0,
000142-82-5,CCCCCCC,4.66,3.4,-90.6,Neutral Organics,Fish,96-hr,LC50,0.3361605703830719,5.0,
000142-82-5,CCCCCCC,4.66,3.4,-90.6,Neutral Organics,Daphnid,48-hr,LC50,0.2440127730369568,5.0,
000142-82-5,CCCCCCC,4.66,3.4,-90.6,Neutral Organics,Green Algae,96-hr,EC50,0.5018112063407898,6.400000095367432,
000142-82-5,CCCCCCC,4.66,3.4,-90.6,Neutral Organics,Fish,,ChV,0.04389999061822891,8.0,
000142-82-5,CCCCCCC,4.66,3.4,-90.6,Neutral Organics,Daphnid,,ChV,0.04713773727416992,8.0,
000142-82-5,CCCCCCC,4.66,3.4,-90.6,Neutral Organics,Green Algae,,ChV,0.22707970440387726,8.0,
000142-82-5,CCCCCCC,4.66,3.4,-90.6,Neutral Organics,Fish (SW),96-hr,LC50,0.4299943149089813,5.0,
000142-82-5,CCCCCCC,4.66,3.4,-90.6,Neutral Organics,Mysid,96-hr,LC50,0.052721817046403885,5.0,
000142-82-5,CCCCCCC,4.66,3.4,-90.6,Neutral Organics,Fish (SW),,ChV,0.23686155676841736,8.0,
000142-82-5,CCCCCCC,4.66,3.4,-90.6,Neutral Organics,Mysid (SW),,ChV,0.002071802504360676,8.0,
000142-82-5,CCCCCCC,4.66,3.4,-90.6,Neutral Organics,Earthworm,14-day,LC50,92.31036376953125,6.0,aboveWaterSolubility
001634-04-4,CC(C)(C)OC,0.94,51000.0,-108.6,Neutral Organics,Fish,96-hr,LC50,648.3548583984375,5.0,
001634-04-4,CC(C)(C)OC,0.94,51000.0,-108.6,Neutral Organics,Daphnid,48-hr,LC50,333.815673828125,5.0,
001634-04-4,CC(C)(C)OC,0.94,51000.0,-108.6,Neutral Organics,Green Algae,96-hr,EC50,165.9047088623047,6.400000095367432,
001634-04-4,CC(C)(C)OC,0.94,51000.0,-108.6,Neutral Organics,Fish,,ChV,56.46440505981445,8.0,
001634-04-4,CC(C)(C)OC,0.94,51000.0,-108.6,Neutral Organics,Daphnid,,ChV,24.79195785522461,8.0,
001634-04-4,CC(C)(C)OC,0.94,51000.0,-108.6,Neutral Organics,Green Algae,,ChV,34.93821716308594,8.0,
001634-04-4,CC(C)(C)OC,0.94,51000.0,-108.6,Neutral Organics,Fish (SW),96-hr,LC50,811.067138671875,5.0,
001634-04-4,CC(C)(C)OC,0.94,51000.0,-108.6,Neutral Organics,Mysid,96-hr,LC50,1235.972412109375,5.0,
001634-04-4,CC(C)(C)OC,0.94,51000.0,-108.6,Neutral Organics,Fish (SW),,ChV,46.08342742919922,8.0,
001634-04-4,CC(C)(C)OC,0.94,51000.0,-108.6,Neutral Organics,Mysid (SW),,ChV,146.26173400878906,8.0,
001634-04-4,CC(C)(C)OC,0.94,51000.0,-108.6,Neutral Organics,Earthworm,14-day,LC50,197.40072631835938,6.0,
000110-54-3,CCCCCC,3.9,9.5,-95.3,Neutral Organics,Fish,96-hr,LC50,1.3919039964675903,5.0,
000110-54-3,CCCCCC,3.9,9.5,-95.3,Neutral Organics,Daphnid,48-hr,LC50,0.9418882131576538,5.0,
000110-54-3,CCCCCC,3.9,9.5,-95.3,Neutral Organics,Green Algae,96-hr,EC50,1.449169635772705,6.400000095367432,
000110-54-3,CCCCCC,3.9,9.5,-95.3,Neutral Organics,Fish,,ChV,0.16733211278915405,8.0,
000110-54-3,CCCCCC,3.9,9.5,-95.3,Neutral Organics,Daphnid,,ChV,0.14967165887355804,8.0,
000110-54-3,CCCCCC,3.9,9.5,-95.3,Neutral Organics,Green Algae,,ChV,0.5609046816825867,8.0,
000110-54-3,CCCCCC,3.9,9.5,-95.3,Neutral Organics,Fish (SW),96-hr,LC50,1.7723499536514282,5.0,
000110-54-3,CCCCCC,3.9,9.5,-95.3,Neutral Organics,Mysid,96-hr,LC50,0.3636380434036255,5.0,
000110-54-3,CCCCCC,3.9,9.5,-95.3,Neutral Organics,Fish (SW),,ChV,0.6138038039207458,8.0,
000110-54-3,CCCCCC,3.9,9.5,-95.3,Neutral Organics,Mysid (SW),,ChV,0.017899420112371445,8.0,
000110-54-3,CCCCCC,3.9,9.5,-95.3,Neutral Organics,Earthworm,14-day,LC50,95.18519592285156,6.0,aboveWaterSolubility
000075-09-2,C(Cl)Cl,1.25,13000.0,-95.1,Neutral Organics,Fish,96-hr,LC50,329.0425109863281,5.0,
000075-09-2,C(Cl)Cl,1.25,13000.0,-95.1,Neutral Organics,Daphnid,48-hr,LC50,174.33192443847656,5.0,
000075-09-2,C(Cl)Cl,1.25,13000.0,-95.1,Neutral Organics,Green Algae,96-hr,EC50,97.52747344970703,6.400000095367432,
000075-09-2,C(Cl)Cl,1.25,13000.0,-95.1,Neutral Organics,Fish,,ChV,29.639921188354492,8.0,
000075-09-2,C(Cl)Cl,1.25,13000.0,-95.1,Neutral Organics,Daphnid,,ChV,14.02093505859375,8.0,
000075-09-2,C(Cl)Cl,1.25,13000.0,-95.1,Neutral Organics,Green Algae,,ChV,21.890308380126953,8.0,
000075-09-2,C(Cl)Cl,1.25,13000.0,-95.1,Neutral Organics,Fish (SW),96-hr,LC50,412.38421630859375,5.0,
000075-09-2,C(Cl)Cl,1.25,13000.0,-95.1,Neutral Organics,Mysid,96-hr,LC50,509.3917541503906,5.0,
000075-09-2,C(Cl)Cl,1.25,13000.0,-95.1,Neutral Organics,Fish (SW),,ChV,28.314048767089844,8.0,
000075-09-2,C(Cl)Cl,1.25,13000.0,-95.1,Neutral Organics,Mysid (SW),,ChV,54.9891471862793,8.0,
000075-09-2,C(Cl)Cl,1.25,13000.0,-95.1,Neutral Organics,Earthworm,14-day,LC50,176.62490844726562,6.0,
