cas,part_number,name,product_url,density_g_ml
67-64-1,A181,Acetone (Certified ACS),https://www.fishersci.com/shop/products/acetone-certified-acs-fisher-chemical/A18-4,0.791
67-56-1,A412,Methanol (Certified ACS),https://www.fishersci.com/shop/products/methanol-certified-acs-fisher-chemical-8/A4124,0.791
108-88-3,T324,Toluene (Certified ACS),https://www.fishersci.com/shop/products/toluene-certified-acs-fisher-chemical-6/T3244,0.867
64-17-5,A995,Ethanol / Alcohol (ACS/HPLC),https://www.fishersci.com/shop/products/ethyl-alcohol-absolute-200-proof-acs-fisher-chemical/A995-4,0.789
75-05-8,A998,Acetonitrile (HPLC/ACS),https://www.fishersci.com/shop/products/acetonitrile-certified-acs-fisher-chemical/A998-4,0.786
141-78-6,E145,Ethyl Acetate (Certified ACS),https://www.fishersci.com/shop/products/ethyl-acetate-certified-acs-fisher-chemical/E145-4,0.902
67-63-0,A416,2-Propanol (ACS),https://www.fishersci.com/shop/products/2-propanol-certified-acs-fisher-chemical/A416-4,0.785
110-54-3,H292,Hexanes (Certified ACS),https://www.fishersci.com/shop/products/hexanes-certified-acs-fisher-chemical/H292-4,0.659
75-09-2,D37,Dichloromethane / Methylene Chloride (ACS),https://www.fishersci.com/shop/products/dichloromethane-certified-acs-fisher-chemical/D37-4,1.325
109-99-9,T397,Tetrahydrofuran (Certified),https://www.fishersci.com/shop/products/tetrahydrofuran-certified-acs-fisher-chemical/T397-4,0.889
67-68-5,D128,DMSO (Certified ACS),https://www.fishersci.com/shop/products/dimethyl-sulfoxide-certified-acs-fisher-chemical/D128-4,1.100
