cas,name,queue_name,page_file,sds_source,sds_year,memo_sds_n,memo_other_n,found,n_candidates,auto6_n,auto6_full,n_categories_filled,total_n_sub,n_score_cells,missing_auto6,Acute_Human_Effects_max,Acute_Human_Effects_mean,Acute_Human_Effects_n_sub,Chronic_Human_Effects_max,Chronic_Human_Effects_mean,Chronic_Human_Effects_n_sub,Ecological_Hazards_max,Ecological_Hazards_mean,Ecological_Hazards_n_sub,Environmental_Fate_and_Transport_max,Environmental_Fate_and_Transport_mean,Environmental_Fate_and_Transport_n_sub,Atmospheric_Hazard_max,Atmospheric_Hazard_mean,Atmospheric_Hazard_n_sub,Physical_Properties_max,Physical_Properties_mean,Physical_Properties_n_sub,Process_Factors_max,Process_Factors_mean,Process_Factors_n_sub,Life_Cycle_Factors_max,Life_Cycle_Factors_mean,Life_Cycle_Factors_n_sub
67-64-1,Acetone,Acetone,P2OASys_export_page100.csv,Fischer Scientific,2025,0,1,yes,2,5,no,7,23,29,Ecological Hazards,6,5.1429,7,8,5,2,,,0,4,4,1,2,2,4,8,3.5,4,6,5,2,6,4.6667,3
108-24-7,Acetic Anhydride,Acetic Anhydride (Ac2O),P2OASys_export_page02.csv,Fischer Scientific,2014,21,7,yes,1,6,yes,8,27,44,,10,7.1429,7,6,4,3,2,2,1,6,4,2,2,2,4,8,5,4,6,6,3,6,6,3
142-82-5,n-Heptane,Heptanes,P2OASys_export_page97.csv,Sigma Aldrich,2024,15,2,yes,1,6,yes,8,31,50,,10,6.75,8,8,4.5,4,10,10,2,6,4.6667,3,2,2,4,10,5.5,4,8,6.6667,3,10,8.6667,3
1634-04-4,tert-Butyl methyl ether,"Tert-Butyl Methyl Ether (MTBE, Methyl Tert-Butyl Ether)",P2OASys_export_page02.csv,Fisher Scientific,2025,15,8,yes,1,6,yes,8,31,45,,8,4.75,8,8,6,4,2,2,2,6,4,3,2,2,4,8,4.5,4,6,6,3,8,6.6667,3
110-54-3,Hexane,Hexanes,P2OASys_export_page09.csv,Sigma Aldrich,2024,17,16,yes,2,6,yes,8,32,55,,10,8.5,8,10,6.4,5,8,8,2,8,5.3333,3,10,4,4,8,5,4,6,6,3,10,8.6667,3
75-09-2,Methylene Chloride,Dichloromethane (DCM),P2OASys_export_page09.csv,Sigma Aldrich,2021,9,20,yes,1,6,yes,8,32,61,,8,7,8,10,8.4,5,6,6,2,8,6.6667,3,10,4,4,8,4,4,8,7.3333,3,10,10,3
71-43-2,Benzene,"Benzene (Benzol, phenyl hydride)",P2OASys_export_page75.csv,Sigma Aldrich,2008,0,0,yes,1,6,yes,8,31,42,,10,7.75,8,10,9,4,6,5,2,8,6.6667,3,10,4,4,8,5,4,8,7.3333,3,8,6.6667,3
680-31-9,Hexamethylphosphoramide,HMPA (Hexamethylphosphoramide),P2OASys_export_page02.csv,Sigma Aldrich,2026,12,8,yes,1,6,yes,8,25,43,,10,6.3333,6,10,10,2,2,2,2,6,6,2,8,3.5,4,2,2,3,8,7.3333,3,8,7.3333,3
56-23-5,Carbon Tetrachloride,Carbon Tetrachloride,P2OASys_export_page57.csv,Sigma Aldrich,2021,36,8,yes,1,6,yes,8,29,52,,8,7.4286,7,10,8,3,6,6,2,10,7.3333,3,10,8,4,4,3.5,4,10,8,3,10,10,3
123-91-1,"1,4-Dioxane","1,4-Dioxane (Dietheyelene diozide, diethylene ether)",P2OASys_export_page55.csv,Sigma Aldrich,2021,0,1,yes,1,6,yes,8,34,57,,10,6.6667,9,8,6.4,5,4,3,2,10,6,3,10,4,4,8,4.8,5,8,7.3333,3,10,8.6667,3
109-86-4,2-Methoxyethanol,2-Methoxy-ethanol (Ethylene Glycol Monomethyl Ether),P2OASys_export_page49.csv,Sigma Aldrich,2021,24,14,yes,1,6,yes,8,33,52,,10,5.5556,9,10,6,5,2,2,2,4,2.6667,3,2,2,4,8,5,4,8,6.6667,3,8,7.3333,3
872-50-4,N-methyl-2-pyrrolidone,"1-Methyl-2-pyrrolidinone (NMP, N Mehtylpyrrolidinone, N-methyl-2-pyrrolidone)",P2OASys_export_page09.csv,Sigma Adlrich,2022,17,20,yes,1,6,yes,8,33,54,,8,5.7778,9,10,6.3333,6,6,6,2,8,4,3,8,3.5,4,8,6,3,6,6,3,10,7.3333,3
64-19-7,Acetic Acid,"Acetic Acid (Glacial Acetic Acic, ethanoic acid)",P2OASys_export_page85.csv,Sigma Aldrich,2014,0,1,yes,7,6,yes,8,30,40,,10,7.4286,7,8,4.5,4,2,2,2,2,2,2,2,2,4,10,5.6,5,6,4.6667,3,6,5.3333,3
75-05-8,Acetonitrile,Acetonitrile,P2OASys_export_page76.csv,Sigma Aldrich,2017,0,0,yes,1,6,yes,8,32,51,,8,5.5556,9,8,4.5,4,2,2,2,8,4,3,10,5.5,4,8,5,4,8,6.6667,3,8,6.6667,3
7664-41-7,Ammonia,Ammonia (ammonium hydroxide),P2OASys_export_page80.csv,Sigma Aldrich,2014,0,1,yes,3,6,yes,8,23,33,,10,8,5,6,6,1,10,10,1,6,4,2,8,3.5,4,8,4,4,6,6,3,8,7.3333,3
71-36-3,n-butanol,"1 Butanol (Butanol, n-butanol, Butan-1-ol)",P2OASys_export_page100.csv,Perstorp,2015,0,1,yes,1,5,no,7,23,29,Ecological Hazards,10,6.6667,6,6,3,4,,,0,2,2,1,2,2,4,6,3.5,4,6,6,1,8,6.6667,3
628-63-7,n-Amyl acetate,Amyl Acetate (1-Pentyl Acetate),P2OASys_export_page54.csv,Fisher Scientfic,2021,16,9,yes,1,6,yes,8,31,42,,8,4.75,8,6,4,4,4,3,2,4,4,2,2,2,4,8,3.6,5,6,4.6667,3,6,5.3333,3
100-66-3,Anisole,Anisole (methoxybenzene),P2OASys_export_page59.csv,Sigma Aldrich,2021,20,1,yes,1,6,yes,8,30,49,,6,4.8,5,8,4,5,6,6,2,4,4,3,2,2,4,6,3.2,5,6,5.3333,3,8,6.6667,3
100-51-6,Benzyl Alcohol,"Benzyl Alcohol (phenylmethanol, phenyl carbinol)",P2OASys_export_page101.csv,Sigma Adlrich,2021,16,5,yes,4,5,no,7,29,44,Ecological Hazards,8,6,7,8,5,4,,,0,4,2.6667,3,2,2,4,4,2.4,5,6,4.6667,3,6,5.3333,3
